Month,Borough,Major Category,Minor Category,Count
201701,Hackney,Theft & Handling,Theft/Taking Of Motor Vehicle,77
201701,Hackney,Theft & Handling,Theft/Taking Of Pedal Cycle,93
201701,Hackney,Violence Against The Person,Assault With Injury,110
201701,Hackney,Violence Against The Person,Common Assault,208
201701,Hackney,Violence Against The Person,Harassment,214
201701,Hackney,Violence Against The Person,Offensive Weapon,17
201701,Hackney,Violence Against The Person,Other Violence,54
201701,Hackney,Violence Against The Person,Wounding/GBH,89
201701,Hammersmith and Fulham,Burglary,Burglary In A Dwelling,100
201701,Hammersmith and Fulham,Burglary,Burglary In Other Buildings,59
201701,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,28
201701,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Motor Vehicle,36
201701,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Other Building,15
201701,Hammersmith and Fulham,Criminal Damage,Other Criminal Damage,26
201701,Hammersmith and Fulham,Drugs,Drug Trafficking,1
201701,Hammersmith and Fulham,Drugs,Other Drugs,2
201701,Hammersmith and Fulham,Drugs,Possession Of Drugs,87
201701,Hammersmith and Fulham,Fraud & Forgery,Other Fraud & Forgery,2
201701,Hammersmith and Fulham,Other Notifiable Offences,Going Equipped,2
201701,Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,37
201701,Hammersmith and Fulham,Robbery,Business Property,3
201701,Hammersmith and Fulham,Robbery,Personal Property,34
201701,Hammersmith and Fulham,Sexual Offences,Other Sexual,26
201701,Hammersmith and Fulham,Sexual Offences,Rape,9
201701,Hammersmith and Fulham,Theft & Handling,Handling Stolen Goods,2
201701,Hammersmith and Fulham,Theft & Handling,Motor Vehicle Interference & Tampering,47
201701,Hammersmith and Fulham,Theft & Handling,Other Theft,272
201701,Hammersmith and Fulham,Theft & Handling,Theft From Motor Vehicle,145
201701,Hammersmith and Fulham,Theft & Handling,Theft From Shops,108
201701,Hammersmith and Fulham,Theft & Handling,Theft Person,72
201701,Hammersmith and Fulham,Theft & Handling,Theft/Taking Of Motor Vehicle,65
201701,Hammersmith and Fulham,Theft & Handling,Theft/Taking Of Pedal Cycle,66
201701,Hammersmith and Fulham,Violence Against The Person,Assault With Injury,76
201701,Hammersmith and Fulham,Violence Against The Person,Common Assault,123
201701,Hammersmith and Fulham,Violence Against The Person,Harassment,198
201701,Hammersmith and Fulham,Violence Against The Person,Offensive Weapon,7
201701,Hammersmith and Fulham,Violence Against The Person,Other Violence,13
201701,Hammersmith and Fulham,Violence Against The Person,Wounding/GBH,50
201701,Haringey,Burglary,Burglary In A Dwelling,147
201701,Haringey,Burglary,Burglary In Other Buildings,65
201701,Haringey,Criminal Damage,Criminal Damage To Dwelling,37
201701,Haringey,Criminal Damage,Criminal Damage To Motor Vehicle,62
201701,Haringey,Criminal Damage,Criminal Damage To Other Building,18
201701,Haringey,Criminal Damage,Other Criminal Damage,51
201701,Haringey,Drugs,Drug Trafficking,2
201701,Haringey,Drugs,Other Drugs,1
201701,Haringey,Drugs,Possession Of Drugs,91
201701,Haringey,Fraud & Forgery,Other Fraud & Forgery,3
201701,Haringey,Other Notifiable Offences,Other Notifiable,32
201701,Haringey,Robbery,Business Property,10
201701,Haringey,Robbery,Personal Property,119
201701,Haringey,Sexual Offences,Other Sexual,35
201701,Haringey,Sexual Offences,Rape,13
201701,Haringey,Theft & Handling,Handling Stolen Goods,4
201701,Haringey,Theft & Handling,Motor Vehicle Interference & Tampering,48
201701,Haringey,Theft & Handling,Other Theft,258
201701,Haringey,Theft & Handling,Theft From Motor Vehicle,165
201701,Haringey,Theft & Handling,Theft From Shops,117
201701,Haringey,Theft & Handling,Theft Person,201
201701,Haringey,Theft & Handling,Theft/Taking Of Motor Vehicle,87
201701,Haringey,Theft & Handling,Theft/Taking Of Pedal Cycle,22
201701,Haringey,Violence Against The Person,Assault With Injury,142
201701,Haringey,Violence Against The Person,Common Assault,164
201701,Haringey,Violence Against The Person,Harassment,210
201701,Haringey,Violence Against The Person,Offensive Weapon,11
201701,Haringey,Violence Against The Person,Other Violence,46
201701,Haringey,Violence Against The Person,Wounding/GBH,73
201701,Harrow,Burglary,Burglary In A Dwelling,156
201701,Harrow,Burglary,Burglary In Other Buildings,49
201701,Harrow,Criminal Damage,Criminal Damage To Dwelling,14
201701,Harrow,Criminal Damage,Criminal Damage To Motor Vehicle,43
201701,Harrow,Criminal Damage,Criminal Damage To Other Building,7
201701,Harrow,Criminal Damage,Other Criminal Damage,28
201701,Harrow,Drugs,Possession Of Drugs,22
201701,Harrow,Fraud & Forgery,Other Fraud & Forgery,1
201701,Harrow,Other Notifiable Offences,Other Notifiable,19
201701,Harrow,Robbery,Personal Property,22
201701,Harrow,Sexual Offences,Other Sexual,13
201701,Harrow,Sexual Offences,Rape,8
201701,Harrow,Theft & Handling,Motor Vehicle Interference & Tampering,24
201701,Harrow,Theft & Handling,Other Theft,135
201701,Harrow,Theft & Handling,Theft From Motor Vehicle,91
201701,Harrow,Theft & Handling,Theft From Shops,56
201701,Harrow,Theft & Handling,Theft Person,23
201701,Harrow,Theft & Handling,Theft/Taking Of Motor Vehicle,10
201701,Harrow,Theft & Handling,Theft/Taking Of Pedal Cycle,3
201701,Harrow,Violence Against The Person,Assault With Injury,70
201701,Harrow,Violence Against The Person,Common Assault,87
201701,Harrow,Violence Against The Person,Harassment,90
201701,Harrow,Violence Against The Person,Offensive Weapon,5
201701,Harrow,Violence Against The Person,Other Violence,30
201701,Harrow,Violence Against The Person,Wounding/GBH,35
201701,Havering,Burglary,Burglary In A Dwelling,122
201701,Havering,Burglary,Burglary In Other Buildings,59
201701,Havering,Criminal Damage,Criminal Damage To Dwelling,38
201701,Havering,Criminal Damage,Criminal Damage To Motor Vehicle,65
201701,Havering,Criminal Damage,Criminal Damage To Other Building,9
201701,Havering,Criminal Damage,Other Criminal Damage,41
201701,Havering,Drugs,Drug Trafficking,2
201701,Havering,Drugs,Possession Of Drugs,35
201701,Havering,Fraud & Forgery,Other Fraud & Forgery,2
201701,Havering,Other Notifiable Offences,Other Notifiable,19
201701,Havering,Robbery,Business Property,3
201701,Havering,Robbery,Personal Property,40
201701,Havering,Sexual Offences,Other Sexual,27
201701,Havering,Sexual Offences,Rape,11
201701,Havering,Theft & Handling,Handling Stolen Goods,4
201701,Havering,Theft & Handling,Motor Vehicle Interference & Tampering,12
201701,Havering,Theft & Handling,Other Theft,172
201701,Havering,Theft & Handling,Theft From Motor Vehicle,84
201701,Havering,Theft & Handling,Theft From Shops,115
201701,Havering,Theft & Handling,Theft Person,31
201701,Havering,Theft & Handling,Theft/Taking Of Motor Vehicle,76
201701,Havering,Theft & Handling,Theft/Taking Of Pedal Cycle,8
201701,Havering,Violence Against The Person,Assault With Injury,129
201701,Havering,Violence Against The Person,Common Assault,150
201701,Havering,Violence Against The Person,Harassment,188
201701,Havering,Violence Against The Person,Offensive Weapon,9
201701,Havering,Violence Against The Person,Other Violence,25
201701,Havering,Violence Against The Person,Wounding/GBH,42
201701,Hillingdon,Burglary,Burglary In A Dwelling,175
201701,Hillingdon,Burglary,Burglary In Other Buildings,51
201701,Hillingdon,Criminal Damage,Criminal Damage To Dwelling,36
201701,Hillingdon,Criminal Damage,Criminal Damage To Motor Vehicle,116
201701,Hillingdon,Criminal Damage,Criminal Damage To Other Building,11
201701,Hillingdon,Criminal Damage,Other Criminal Damage,55
201701,Hillingdon,Drugs,Drug Trafficking,4
201701,Hillingdon,Drugs,Possession Of Drugs,54
201701,Hillingdon,Fraud & Forgery,Other Fraud & Forgery,4
201701,Hillingdon,Other Notifiable Offences,Going Equipped,1
201701,Hillingdon,Other Notifiable Offences,Other Notifiable,27
201701,Hillingdon,Robbery,Business Property,4
201701,Hillingdon,Robbery,Personal Property,40
201701,Hillingdon,Sexual Offences,Other Sexual,30
201701,Hillingdon,Sexual Offences,Rape,13
201701,Hillingdon,Theft & Handling,Handling Stolen Goods,1
201701,Hillingdon,Theft & Handling,Motor Vehicle Interference & Tampering,58
201701,Hillingdon,Theft & Handling,Other Theft,227
201701,Hillingdon,Theft & Handling,Theft From Motor Vehicle,182
201701,Hillingdon,Theft & Handling,Theft From Shops,119
201701,Hillingdon,Theft & Handling,Theft Person,37
201701,Hillingdon,Theft & Handling,Theft/Taking Of Motor Vehicle,69
201701,Hillingdon,Theft & Handling,Theft/Taking Of Pedal Cycle,22
201701,Hillingdon,Violence Against The Person,Assault With Injury,112
201701,Hillingdon,Violence Against The Person,Common Assault,145
201701,Hillingdon,Violence Against The Person,Harassment,204
201701,Hillingdon,Violence Against The Person,Offensive Weapon,4
201701,Hillingdon,Violence Against The Person,Other Violence,40
201701,Hillingdon,Violence Against The Person,Wounding/GBH,42
201701,Hounslow,Burglary,Burglary In A Dwelling,160
201701,Hounslow,Burglary,Burglary In Other Buildings,60
201701,Hounslow,Criminal Damage,Criminal Damage To Dwelling,26
201701,Hounslow,Criminal Damage,Criminal Damage To Motor Vehicle,61
201701,Hounslow,Criminal Damage,Criminal Damage To Other Building,17
201701,Hounslow,Criminal Damage,Other Criminal Damage,40
201701,Hounslow,Drugs,Drug Trafficking,5
201701,Hounslow,Drugs,Possession Of Drugs,84
201701,Hounslow,Fraud & Forgery,Other Fraud & Forgery,10
201701,Hounslow,Other Notifiable Offences,Other Notifiable,33
201701,Hounslow,Robbery,Business Property,5
201701,Hounslow,Robbery,Personal Property,32
201701,Hounslow,Sexual Offences,Other Sexual,27
201701,Hounslow,Sexual Offences,Rape,15
201701,Hounslow,Theft & Handling,Handling Stolen Goods,1
201701,Hounslow,Theft & Handling,Motor Vehicle Interference & Tampering,45
201701,Hounslow,Theft & Handling,Other Theft,266
201701,Hounslow,Theft & Handling,Theft From Motor Vehicle,134
201701,Hounslow,Theft & Handling,Theft From Shops,127
201701,Hounslow,Theft & Handling,Theft Person,24
201701,Hounslow,Theft & Handling,Theft/Taking Of Motor Vehicle,59
201701,Hounslow,Theft & Handling,Theft/Taking Of Pedal Cycle,35
201701,Hounslow,Violence Against The Person,Assault With Injury,120
201701,Hounslow,Violence Against The Person,Common Assault,167
201701,Hounslow,Violence Against The Person,Harassment,207
